dates.date,geography.code,geography.name,Births,Deaths,Active,births_percent,deaths_percent
2022-01-01,E07000166,Richmondshire,170,170,1930,0.08808290155440414,0.08808290155440414
2022-01-01,E07000167,Ryedale,210,185,2370,0.08860759493670886,0.07805907172995781
2022-01-01,E07000168,Scarborough,315,315,3580,0.08798882681564246,0.08798882681564246
2022-01-01,E07000169,Selby,405,340,3420,0.11842105263157894,0.09941520467836257
2022-01-01,E08000016,Barnsley,835,765,6730,0.12407132243684993,0.11367013372956909
2022-01-01,E08000017,Doncaster,1675,1290,10165,0.1647811116576488,0.12690605017215936
2022-01-01,E08000018,Rotherham,1030,810,7725,0.13333333333333333,0.10485436893203884
2022-01-01,E08000019,Sheffield,2135,1710,17485,0.12210466113811838,0.09779811266800115
2022-01-01,E08000032,Bradford,2350,1960,17350,0.13544668587896252,0.11296829971181556
2022-01-01,E08000033,Calderdale,1165,865,8650,0.13468208092485548,0.1
2022-01-01,E08000034,Kirklees,1950,1670,15600,0.125,0.10705128205128205
2022-01-01,E08000035,Leeds,3745,3885,30590,0.12242562929061784,0.12700228832951946
2022-01-01,E08000036,Wakefield,1200,1075,9960,0.12048192771084337,0.10793172690763052
