last_updated,Create Date,Do you feel the True North report identified the key challenges and opportunities facing the region? ,Are you interested in attending future True North events? ,Are you currently a B Corp or in the process of becoming a B Corp?,Would you be interested in hearing more from Brabners about the B Corp process?,Company name,City,Industry,sector,location,Which theme of the True North report do you most identify with and could support activity around?,How would you like to be involved with the True North network?,company_size
2024-02-01 11:25:00,2024-02-01 11:25:00,Yes,Yes,No,Yes,Go-International,,,Professional Services,North Yorkshire; West Yorkshire,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study; Other - please specify,0-9
2024-01-29 15:00:00,2023-09-12 15:26:00,Yes,Yes,No,Yes,University Of Manchester,Manchester,Higher Education,Tech,,Innovation and change,,
2024-01-29 13:17:00,2024-01-29 13:17:00,Yes,Yes,No,No,Deloitte LLP,London,Management Consulting,Professional Services,Greater Manchester; Merseyside,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events,"1,000+"
2024-01-29 10:00:00,2022-03-28 00:29:00,Yes,Yes,No,No,RSM UK Group LLP,Bromley,Accounting,"Audit, Tax and consulting",,"People, skills and the future",,
2024-01-29 08:30:00,2024-01-29 08:30:00,No,Yes,,,Walking Food Tours UK,Dodleston,"Leisure, Travel & Tourism","Arts, Entertainment and Recreation",Merseyside; Cheshire,"People, skills and the future; Innovation and change; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events,0-9
2024-01-24 11:14:00,2024-01-24 11:14:00,Yes,Yes,No,Yes,F-LEX,London,Legal Services,Legal,Greater Manchester,"People, skills and the future",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,10-49
2024-01-22 14:00:00,2023-08-01 13:14:00,Yes,Yes,No,Yes,Groupsignature,,Accounting,Finance,,Other,,
2024-01-22 11:00:00,2022-03-28 00:29:00,Yes,Yes,No,Yes,The Clatterbridge Cancer Centre NHS Foundation Trust,Liverpool,"Health, Wellness and Fitness",Not for profit research funder,Cumbria; Lancashire; Greater Manchester; Merseyside; Cheshire; Wales,Innovation and change; Purpose and societal impact,Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,10-49
2024-01-22 10:35:00,2024-01-22 10:35:00,Yes,Yes,No,No,Business Health Institute,Garstang,Professional Training & Coaching,Construction; Finance and Insurance; Manufacturing and Engineering; Professional Services,Lancashire,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,0-9
2024-01-19 12:52:00,2024-01-19 12:52:00,Yes,,No,,MKB Psychology,,Hospital & Health Care,Health and Social Care; Professional Services,West Yorkshire,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,0-9
