,date,variable.name,variable.unit,variable.code,value
212582,2004-12-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,19.0
212583,2004-12-01,UK Job Vacancies (thousands) - Education.,,JP9V,42.0
212584,2004-12-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,75.0
212585,2004-12-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,14.0
212586,2004-12-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,15.0
213965,2005-01-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
213966,2005-01-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,60.0
213967,2005-01-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
213968,2005-01-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
213969,2005-01-01,UK Job Vacancies (thousands) - Construction,,JP9L,24.0
213970,2005-01-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,141.0
213971,2005-01-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,31.0
213972,2005-01-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,56.0
213973,2005-01-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,44.0
213974,2005-01-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,34.0
213975,2005-01-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,6.0
213976,2005-01-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,52.0
213977,2005-01-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,38.0
213978,2005-01-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,18.0
213979,2005-01-01,UK Job Vacancies (thousands) - Education.,,JP9V,43.0
213980,2005-01-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,76.0
213981,2005-01-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,13.0
213982,2005-01-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,15.0
215361,2005-02-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
215362,2005-02-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,60.0
215363,2005-02-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
215364,2005-02-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
215365,2005-02-01,UK Job Vacancies (thousands) - Construction,,JP9L,26.0
215366,2005-02-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,139.0
215367,2005-02-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,29.0
215368,2005-02-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,52.0
215369,2005-02-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,42.0
215370,2005-02-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,34.0
215371,2005-02-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,6.0
215372,2005-02-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,50.0
215373,2005-02-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,37.0
215374,2005-02-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,18.0
215375,2005-02-01,UK Job Vacancies (thousands) - Education.,,JP9V,42.0
215376,2005-02-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,78.0
215377,2005-02-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,12.0
215378,2005-02-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,14.0
216757,2005-03-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
216758,2005-03-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,58.0
216759,2005-03-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
216760,2005-03-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
216761,2005-03-01,UK Job Vacancies (thousands) - Construction,,JP9L,26.0
216762,2005-03-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,135.0
216763,2005-03-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,29.0
216764,2005-03-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,54.0
216765,2005-03-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,42.0
216766,2005-03-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,34.0
216767,2005-03-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,6.0
216768,2005-03-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,50.0
216769,2005-03-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,37.0
216770,2005-03-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,19.0
216771,2005-03-01,UK Job Vacancies (thousands) - Education.,,JP9V,43.0
216772,2005-03-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,76.0
216773,2005-03-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,11.0
216774,2005-03-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,13.0
218153,2005-04-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
218154,2005-04-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,56.0
218155,2005-04-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
218156,2005-04-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
218157,2005-04-01,UK Job Vacancies (thousands) - Construction,,JP9L,27.0
218158,2005-04-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,132.0
218159,2005-04-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,29.0
218160,2005-04-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,54.0
218161,2005-04-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,42.0
218162,2005-04-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,34.0
218163,2005-04-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,6.0
218164,2005-04-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,51.0
218165,2005-04-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,38.0
218166,2005-04-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,19.0
218167,2005-04-01,UK Job Vacancies (thousands) - Education.,,JP9V,43.0
218168,2005-04-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,81.0
218169,2005-04-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,11.0
218170,2005-04-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,13.0
219549,2005-05-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
219550,2005-05-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,54.0
219551,2005-05-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
219552,2005-05-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
219553,2005-05-01,UK Job Vacancies (thousands) - Construction,,JP9L,26.0
219554,2005-05-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,132.0
219555,2005-05-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,30.0
219556,2005-05-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,55.0
219557,2005-05-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,42.0
219558,2005-05-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,35.0
219559,2005-05-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,6.0
219560,2005-05-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,51.0
219561,2005-05-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,38.0
219562,2005-05-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,19.0
219563,2005-05-01,UK Job Vacancies (thousands) - Education.,,JP9V,43.0
219564,2005-05-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,81.0
219565,2005-05-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,12.0
219566,2005-05-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,14.0
220947,2005-06-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
220948,2005-06-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,53.0
220949,2005-06-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
220950,2005-06-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
220951,2005-06-01,UK Job Vacancies (thousands) - Construction,,JP9L,22.0
220952,2005-06-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,132.0
220953,2005-06-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,29.0
220954,2005-06-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,54.0
220955,2005-06-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,40.0
220956,2005-06-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,37.0
220957,2005-06-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,7.0
220958,2005-06-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,50.0
220959,2005-06-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,38.0
220960,2005-06-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,18.0
220961,2005-06-01,UK Job Vacancies (thousands) - Education.,,JP9V,42.0
220962,2005-06-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,80.0
220963,2005-06-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,13.0
220964,2005-06-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,14.0
222344,2005-07-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
222345,2005-07-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,52.0
222346,2005-07-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
222347,2005-07-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
222348,2005-07-01,UK Job Vacancies (thousands) - Construction,,JP9L,22.0
222349,2005-07-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,131.0
222350,2005-07-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,28.0
222351,2005-07-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,54.0
222352,2005-07-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,39.0
222353,2005-07-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,36.0
222354,2005-07-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,6.0
222355,2005-07-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,49.0
222356,2005-07-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,36.0
222357,2005-07-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,18.0
222358,2005-07-01,UK Job Vacancies (thousands) - Education.,,JP9V,42.0
222359,2005-07-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,79.0
222360,2005-07-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,14.0
222361,2005-07-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,15.0
223741,2005-08-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
223742,2005-08-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,51.0
223743,2005-08-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
223744,2005-08-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
223745,2005-08-01,UK Job Vacancies (thousands) - Construction,,JP9L,22.0
223746,2005-08-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,131.0
223747,2005-08-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,28.0
223748,2005-08-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,55.0
223749,2005-08-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,39.0
223750,2005-08-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,35.0
223751,2005-08-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,7.0
223752,2005-08-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,49.0
223753,2005-08-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,37.0
223754,2005-08-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,18.0
223755,2005-08-01,UK Job Vacancies (thousands) - Education.,,JP9V,41.0
223756,2005-08-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,78.0
223757,2005-08-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,12.0
223758,2005-08-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,14.0
225140,2005-09-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
225141,2005-09-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,50.0
225142,2005-09-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
225143,2005-09-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
225144,2005-09-01,UK Job Vacancies (thousands) - Construction,,JP9L,23.0
225145,2005-09-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,123.0
225146,2005-09-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,27.0
225147,2005-09-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,56.0
225148,2005-09-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,39.0
225149,2005-09-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,35.0
225150,2005-09-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,7.0
225151,2005-09-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,49.0
225152,2005-09-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,36.0
225153,2005-09-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,19.0
225154,2005-09-01,UK Job Vacancies (thousands) - Education.,,JP9V,42.0
225155,2005-09-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,74.0
225156,2005-09-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,12.0
225157,2005-09-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,13.0
226537,2005-10-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
226538,2005-10-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,51.0
226539,2005-10-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
226540,2005-10-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
226541,2005-10-01,UK Job Vacancies (thousands) - Construction,,JP9L,25.0
226542,2005-10-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,121.0
226543,2005-10-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,27.0
226544,2005-10-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,56.0
226545,2005-10-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,39.0
226546,2005-10-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,34.0
226547,2005-10-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,7.0
226548,2005-10-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,51.0
226549,2005-10-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,37.0
226550,2005-10-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,20.0
226551,2005-10-01,UK Job Vacancies (thousands) - Education.,,JP9V,41.0
226552,2005-10-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,69.0
226553,2005-10-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,11.0
226554,2005-10-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,12.0
227936,2005-11-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
227937,2005-11-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,51.0
227938,2005-11-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
227939,2005-11-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
227940,2005-11-01,UK Job Vacancies (thousands) - Construction,,JP9L,25.0
227941,2005-11-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,120.0
227942,2005-11-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,25.0
227943,2005-11-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,56.0
227944,2005-11-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,39.0
227945,2005-11-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,35.0
227946,2005-11-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,7.0
227947,2005-11-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,51.0
227948,2005-11-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,37.0
227949,2005-11-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,20.0
227950,2005-11-01,UK Job Vacancies (thousands) - Education.,,JP9V,43.0
227951,2005-11-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,68.0
227952,2005-11-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,13.0
227953,2005-11-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,14.0
229333,2005-12-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
229334,2005-12-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,51.0
229335,2005-12-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
229336,2005-12-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
229337,2005-12-01,UK Job Vacancies (thousands) - Construction,,JP9L,27.0
229338,2005-12-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,121.0
229339,2005-12-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,26.0
229340,2005-12-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,53.0
229341,2005-12-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,39.0
229342,2005-12-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,36.0
229343,2005-12-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,8.0
229344,2005-12-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,51.0
229345,2005-12-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,38.0
229346,2005-12-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,20.0
229347,2005-12-01,UK Job Vacancies (thousands) - Education.,,JP9V,43.0
229348,2005-12-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,68.0
229349,2005-12-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,14.0
229350,2005-12-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,15.0
230730,2006-01-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
230731,2006-01-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,52.0
230732,2006-01-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
230733,2006-01-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
230734,2006-01-01,UK Job Vacancies (thousands) - Construction,,JP9L,26.0
230735,2006-01-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,118.0
230736,2006-01-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,27.0
230737,2006-01-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,52.0
230738,2006-01-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,40.0
230739,2006-01-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,36.0
230740,2006-01-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,8.0
230741,2006-01-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,52.0
230742,2006-01-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,38.0
230743,2006-01-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,20.0
230744,2006-01-01,UK Job Vacancies (thousands) - Education.,,JP9V,44.0
230745,2006-01-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,65.0
230746,2006-01-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,13.0
230747,2006-01-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,15.0
232127,2006-02-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
232128,2006-02-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,50.0
232129,2006-02-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
232130,2006-02-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
232131,2006-02-01,UK Job Vacancies (thousands) - Construction,,JP9L,23.0
232132,2006-02-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,111.0
232133,2006-02-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,27.0
232134,2006-02-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,49.0
232135,2006-02-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,40.0
232136,2006-02-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,38.0
232137,2006-02-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,10.0
232138,2006-02-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,52.0
232139,2006-02-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,39.0
232140,2006-02-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,21.0
232141,2006-02-01,UK Job Vacancies (thousands) - Education.,,JP9V,43.0
232142,2006-02-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,63.0
232143,2006-02-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,13.0
232144,2006-02-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,15.0
233525,2006-03-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
233526,2006-03-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,51.0
233527,2006-03-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
233528,2006-03-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
233529,2006-03-01,UK Job Vacancies (thousands) - Construction,,JP9L,23.0
233530,2006-03-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,114.0
233531,2006-03-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,27.0
233532,2006-03-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,49.0
233533,2006-03-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,40.0
233534,2006-03-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,38.0
233535,2006-03-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,10.0
233536,2006-03-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,50.0
233537,2006-03-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,38.0
233538,2006-03-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,21.0
233539,2006-03-01,UK Job Vacancies (thousands) - Education.,,JP9V,42.0
233540,2006-03-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,62.0
233541,2006-03-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,13.0
233542,2006-03-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,15.0
234922,2006-04-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
234923,2006-04-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,52.0
234924,2006-04-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
234925,2006-04-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
234926,2006-04-01,UK Job Vacancies (thousands) - Construction,,JP9L,22.0
234927,2006-04-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,117.0
234928,2006-04-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,26.0
234929,2006-04-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,47.0
234930,2006-04-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,40.0
234931,2006-04-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,39.0
234932,2006-04-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,10.0
234933,2006-04-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,51.0
234934,2006-04-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,38.0
234935,2006-04-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,21.0
234936,2006-04-01,UK Job Vacancies (thousands) - Education.,,JP9V,41.0
234937,2006-04-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,61.0
234938,2006-04-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,12.0
234939,2006-04-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,14.0
