date,new_la_code,la_name,Age,Characteristic_grouping,Characteristic,avgcohort,avgNEETNK,avgNEET,avgNK,NEETNKprop,NEETprop,Notknownprop,annual_change_NEETNK,geography_code
2023,E06000057,Northumberland,16-17,Total,Total,6438.66666666667,329.666666666667,296,33.6666666666667,5.12010768275005,4.59722509836405,0.522882584386001,-0.501132723804608,E06000057
2023,E06000003,Redcar and Cleveland,16-17,Total,Total,3175.33333333333,206,206,0,6.48750787318917,6.48750787318917,0,0.670783436447397,E06000003
2023,E08000023,South Tyneside,16-17,Total,Total,3226.33333333333,191.666666666667,187,4.66666666666667,5.94069635292902,5.79605331129249,0.144643041636533,0.969016050852242,E08000023
2023,E06000004,Stockton-on-Tees,16-17,Total,Total,4670.0,251.333333333333,244.666666666667,6.66666666666667,5.38187009279086,5.23911491791577,0.142755174875089,0.126927324840814,E06000004
2023,E08000024,Sunderland,16-17,Total,Total,6349.66666666667,304.666666666667,281,23.6666666666667,4.79815213397029,4.42542915638616,0.372722977584125,-0.582040945539423,E08000024
2023,E06000047,County Durham,16-17,Total,Total,11242.3333333333,596.666666666667,535.666666666667,61,5.30732054437098,4.76472855575652,0.542591988614463,-0.271937742468531,E06000047
2023,,,16-17,Total,Total,169610.0,8970,5910,3060,5.3,3.5,1.8,0.4,E12000002
2023,E06000008,Blackburn with Darwen,16-17,Total,Total,4502.0,195.666666666667,156.333333333333,39.3333333333333,4.34621649637198,3.47253072708426,0.873685769287724,0.460925099517222,E06000008
2023,E06000009,Blackpool,16-17,Total,Total,2779.0,307.333333333333,195.666666666667,111.666666666667,11.0591339810483,7.04090200311863,4.01823197792971,4.4142426877953,E06000009
2023,E08000001,Bolton,16-17,Total,Total,7640.66666666667,333.666666666667,287.666666666667,46,4.36698368379723,3.76494197713987,0.60204170665736,-0.322996812415415,E08000001
2023,E08000002,Bury,16-17,Total,Total,4594.33333333333,181,179.333333333333,1.66666666666667,3.9396357832112,3.90335921062178,0.0362765725894218,0.377591987590763,E08000002
2023,E06000049,Cheshire East,16-17,Total,Total,7716.0,205.333333333333,193.333333333333,12,2.661137031277,2.50561603594263,0.15552099533437,0.66024377535918,E06000049
2023,E06000050,Cheshire West and Chester,16-17,Total,Total,7263.33333333333,328.666666666667,274,54.6666666666667,4.52501147315282,3.77237264800367,0.752638825149151,-0.0467477861064385,E06000050
2023,E10000006,Cumbria,16-17,Total,Total,10206.3333333333,341.666666666667,223.333333333333,118.333333333333,3.34759463078481,2.18818380743982,1.15941082334498,-0.0489661463220434,E10000006
2023,E06000006,Halton,16-17,Total,Total,3254.66666666667,158.333333333333,143.333333333333,15,4.86480950430152,4.40393281442032,0.460876689881196,1.57667029217384,E06000006
2023,E08000011,Knowsley,16-17,Total,Total,3842.66666666667,230,192,38,5.9854267869535,4.99653018736988,0.988896599583623,0.0813336519632042,E08000011
2023,E10000017,Lancashire,16-17,Total,Total,28428.0,1507.33333333333,732.666666666667,774.666666666667,5.3022841330144,2.5772712349327,2.7250128980817,0.0951536480259492,E10000017
2023,E08000012,Liverpool,16-17,Total,Total,10372.3333333333,885,530.333333333333,354.666666666667,8.53231352636822,5.11296076099881,3.41935276536941,0.950855682901644,E08000012
2023,E08000003,Manchester,16-17,Total,Total,13813.0,776,470.333333333333,305.666666666667,5.61789618475349,3.40500494703058,2.21289123772292,0.00451328512524363,E08000003
2023,E08000004,Oldham,16-17,Total,Total,6607.0,575,300,275,8.70289087331618,4.54063871651279,4.16225215680339,1.77595866545546,E08000004
2023,E08000005,Rochdale,16-17,Total,Total,5741.66666666667,413.666666666667,217.333333333333,196.333333333333,7.20464441219158,3.78519593613933,3.41944847605225,0.366831062750323,E08000005
2023,E08000006,Salford,16-17,Total,Total,5576.66666666667,392.333333333333,269,123.333333333333,7.03526598924089,4.82367005379558,2.21159593544531,0.100012323741986,E08000006
2023,E08000014,Sefton,16-17,Total,Total,5707.66666666667,186.666666666667,166,20.6666666666667,3.27045494364305,2.90836886059686,0.362086083046195,0.190336249281033,E08000014
2023,E08000013,St. Helens,16-17,Total,Total,4085.66666666667,210.333333333333,175.666666666667,34.6666666666667,5.1480786489353,4.2995839112344,0.848494737700906,0.868559787958293,E08000013
