geography.code,CVM Index,GVA Constant Prices £m,GVA Current Prices £m,Implied deflator
E07000085,99.0,2672.0,2994.0,112.1
E07000086,98.5,4274.0,4742.0,111.0
E07000087,105.5,3210.0,3530.0,110.0
E07000088,101.7,1103.0,1222.0,110.7
E07000089,94.2,3113.0,3437.0,110.4
E07000090,93.6,2414.0,2652.0,109.9
E07000091,106.2,4981.0,5618.0,112.8
E07000092,96.5,5941.0,6667.0,112.2
E07000093,103.7,3631.0,4013.0,110.5
E07000094,99.3,5494.0,6036.0,109.9
E07000095,97.4,2222.0,2440.0,109.8
E07000096,113.6,5256.0,5719.0,108.8
E07000098,112.1,4802.0,5178.0,107.8
E07000099,107.5,3895.0,4309.0,110.6
E07000102,91.6,4245.0,4844.0,114.1
E07000103,93.4,4785.0,5217.0,109.0
E07000105,97.7,3168.0,3536.0,111.6
E07000106,106.3,3643.0,4009.0,110.0
E07000107,93.0,3614.0,4007.0,110.9
E07000108,106.7,2648.0,2901.0,109.6
E07000109,109.4,1942.0,2156.0,111.0
E07000110,103.9,4677.0,5190.0,110.9
E07000111,102.9,4184.0,4548.0,108.7
E07000112,97.2,2205.0,2473.0,112.2
E07000113,96.5,3028.0,3360.0,111.0
E07000114,101.5,2182.0,2458.0,112.6
E07000115,99.3,4858.0,5328.0,109.7
E07000116,102.5,3641.0,4010.0,110.1
E07000117,101.7,2038.0,2281.0,111.9
E07000118,105.2,2298.0,2545.0,110.8
E07000119,97.1,2590.0,2860.0,110.4
E07000120,102.9,1454.0,1577.0,108.4
E07000121,103.5,2945.0,3278.0,111.3
E07000122,93.6,1656.0,1781.0,107.5
E07000123,100.1,4526.0,5039.0,111.3
E07000124,114.4,1851.0,2062.0,111.4
E07000125,104.2,1081.0,1184.0,109.5
E07000126,120.4,4408.0,4730.0,107.3
E07000127,109.4,2970.0,3261.0,109.8
E07000128,98.9,1744.0,1980.0,113.5
E07000129,98.0,3584.0,4037.0,112.6
E07000130,112.1,4070.0,4468.0,109.8
E07000131,99.4,2158.0,2374.0,110.0
E07000132,107.6,2569.0,2817.0,109.6
E07000133,111.3,1410.0,1514.0,107.4
E07000134,108.8,4000.0,4445.0,111.1
E07000135,104.2,816.0,892.0,109.3
E07000136,95.5,1384.0,1591.0,114.9
E07000137,95.6,2328.0,2695.0,115.8
E07000138,96.4,2741.0,3026.0,110.4
E07000139,107.6,2867.0,3188.0,111.2
E07000140,102.6,2172.0,2468.0,113.6
E07000141,100.6,2882.0,3202.0,111.1
E07000142,107.2,1718.0,1960.0,114.1
E07000143,99.9,2486.0,2791.0,112.3
E07000144,103.2,4096.0,4498.0,109.8
E07000145,108.5,1888.0,2109.0,111.7
E07000146,98.4,3062.0,3412.0,111.4
E07000147,101.6,1567.0,1767.0,112.7
E07000148,94.6,4003.0,4485.0,112.1
E07000149,106.0,2946.0,3296.0,111.9
E07000170,93.4,2611.0,2895.0,110.9
E07000171,103.1,2349.0,2608.0,111.0
E07000172,115.3,2272.0,2478.0,109.1
E07000173,104.0,1576.0,1729.0,109.7
E07000174,100.4,1681.0,1878.0,111.7
E07000175,105.3,2656.0,2865.0,107.9
E07000176,102.3,3128.0,3497.0,111.8
E07000177,103.4,5161.0,5680.0,110.1
E07000178,109.8,7577.0,8400.0,110.9
E07000179,105.5,4513.0,5030.0,111.5
E07000180,118.7,5201.0,5751.0,110.6
E07000181,98.5,2996.0,3356.0,112.0
E07000192,100.9,2192.0,2436.0,111.1
E07000193,108.8,4003.0,4390.0,109.7
E07000194,112.1,2734.0,3024.0,110.6
E07000195,106.3,2418.0,2702.0,111.7
E07000196,109.2,2090.0,2308.0,110.4
E07000197,103.5,3380.0,3799.0,112.4
E07000198,110.9,1693.0,1876.0,110.8
E07000199,116.6,1936.0,2135.0,110.2
E07000200,101.7,1797.0,2003.0,111.5
E07000202,94.4,4069.0,4528.0,111.3
E07000203,96.5,2185.0,2471.0,113.1
E07000207,90.0,6192.0,6788.0,109.6
E07000208,100.0,1725.0,1915.0,111.0
E07000209,102.5,5723.0,6318.0,110.4
E07000210,104.4,4447.0,4903.0,110.3
E07000211,104.0,6202.0,7028.0,113.3
E07000212,103.0,6707.0,7231.0,107.8
E07000213,112.1,3707.0,4042.0,109.0
E07000214,89.9,3533.0,3936.0,111.4
E07000215,105.8,1951.0,2148.0,110.1
E07000216,104.1,3452.0,3806.0,110.3
E07000217,93.9,2925.0,3192.0,109.1
E07000218,98.0,2862.0,3159.0,110.4
E07000219,94.6,2046.0,2282.0,111.5
E07000220,109.5,3148.0,3374.0,107.2
E07000221,91.4,4611.0,5019.0,108.9
E07000222,91.7,5938.0,6619.0,111.5
E07000223,105.8,1173.0,1274.0,108.6
E07000224,107.3,2543.0,2832.0,111.3
E07000225,100.5,3580.0,3940.0,110.1
E07000226,83.6,5038.0,6021.0,119.5
E07000227,100.8,3465.0,3813.0,110.0
E07000228,102.0,3594.0,3969.0,110.4
E07000229,110.4,4543.0,4878.0,107.4
E07000234,106.6,3036.0,3333.0,109.8
E07000235,94.1,1652.0,1816.0,109.9
E07000236,91.2,1971.0,2142.0,108.7
E07000237,101.0,3133.0,3407.0,108.7
E07000238,98.5,3017.0,3326.0,110.2
E07000239,96.4,1438.0,1591.0,110.6
E07000240,105.1,4673.0,5130.0,109.8
E07000241,101.7,5681.0,6188.0,108.9
E07000242,102.4,4190.0,4535.0,108.2
E07000243,98.2,2607.0,2874.0,110.3
E07000244,102.6,5504.0,5889.0,107.0
E07000245,93.1,5342.0,5920.0,110.8
E08000001,102.9,6049.0,6678.0,110.4
E08000002,96.1,3351.0,3689.0,110.1
E08000003,112.3,28380.0,31506.0,111.0
E08000004,97.5,4000.0,4388.0,109.7
E08000005,103.8,3847.0,4176.0,108.5
E08000006,116.0,9365.0,10076.0,107.6
E08000007,110.3,7593.0,8320.0,109.6
E08000008,98.3,3349.0,3669.0,109.6
E08000009,106.7,9973.0,10917.0,109.5
E08000010,109.1,5556.0,6096.0,109.7
E08000011,98.3,3626.0,4012.0,110.7
E08000012,106.8,15040.0,16693.0,111.0
E08000013,98.9,2760.0,3088.0,111.9
E08000014,105.6,4408.0,4991.0,113.2
E08000015,104.1,5440.0,6081.0,111.8
E08000016,105.9,4205.0,4639.0,110.3
E08000017,104.1,5948.0,6625.0,111.4
E08000018,97.9,4653.0,5213.0,112.0
E08000019,108.9,14316.0,15681.0,109.5
E08000021,106.7,10075.0,11157.0,110.7
E08000022,108.6,5001.0,5359.0,107.2
E08000023,95.8,1811.0,1990.0,109.8
E08000024,90.7,6531.0,7231.0,110.7
E08000025,102.2,28958.0,32013.0,110.6
E08000026,94.8,9653.0,10723.0,111.1
E08000027,101.3,5342.0,5931.0,111.0
E08000028,96.5,6166.0,6798.0,110.3
E08000029,90.7,8766.0,9711.0,110.8
E08000030,98.0,4574.0,5088.0,111.2
E08000031,103.1,5418.0,6069.0,112.0
E08000032,105.9,10290.0,11411.0,110.9
E08000033,94.7,4995.0,5611.0,112.3
E08000034,104.8,7859.0,8553.0,108.8
E08000035,106.0,29061.0,31959.0,110.0
E08000036,104.9,8300.0,9194.0,110.8
E08000037,93.5,4213.0,4690.0,111.3
E09000001,110.9,86452.0,97412.0,112.7
E09000002,95.6,3347.0,3643.0,108.9
E09000003,102.1,9008.0,9633.0,106.9
E09000004,89.7,5722.0,6123.0,107.0
E09000005,91.8,8239.0,8967.0,108.8
E09000006,88.8,6874.0,7493.0,109.0
E09000007,95.5,33050.0,36540.0,110.6
E09000008,97.4,9760.0,10676.0,109.4
E09000009,89.8,8352.0,8984.0,107.6
E09000010,92.7,7270.0,7886.0,108.5
E09000011,92.1,5400.0,5886.0,109.0
E09000012,115.4,10678.0,11577.0,108.4
E09000013,91.8,10745.0,11484.0,106.9
E09000014,104.0,4174.0,4523.0,108.4
E09000015,90.5,4742.0,5134.0,108.3
E09000016,104.6,6111.0,6640.0,108.7
E09000017,75.2,10816.0,12236.0,113.1
E09000018,77.9,13133.0,14876.0,113.3
E09000019,115.1,23302.0,25497.0,109.4
E09000020,97.8,9724.0,10604.0,109.0
E09000021,87.2,4564.0,5028.0,110.2
E09000022,106.7,13512.0,14853.0,109.9
E09000023,94.8,3512.0,3841.0,109.3
E09000024,91.2,5167.0,5634.0,109.0
E09000025,99.0,6608.0,7268.0,110.0
E09000026,97.9,4824.0,5248.0,108.8
E09000027,86.4,6551.0,7096.0,108.3
E09000028,92.9,19840.0,21740.0,109.6
E09000029,92.9,3928.0,4307.0,109.6
E09000030,89.7,32049.0,36556.0,114.1
E09000031,97.6,4266.0,4627.0,108.5
E09000032,94.0,7018.0,7716.0,109.9
E09000033,107.7,81392.0,89449.0,109.9
N09000001,97.2,3300.0,3746.0,113.5
N09000002,99.6,4103.0,4575.0,111.5
N09000003,104.4,14322.0,16187.0,113.0
N09000004,98.4,2209.0,2504.0,113.4
N09000005,104.2,3078.0,3421.0,111.2
N09000006,102.1,2343.0,2660.0,113.5
N09000007,101.5,3498.0,3907.0,111.7
N09000008,98.3,2450.0,2769.0,113.0
N09000009,103.0,3790.0,4185.0,110.4
N09000010,99.9,3235.0,3606.0,111.5
N09000011,94.4,2115.0,2342.0,110.7
S12000005,102.7,1120.0,1251.0,111.7
S12000006,94.1,3350.0,3782.0,112.9
S12000008,102.0,1935.0,2185.0,112.9
S12000010,100.2,1823.0,2055.0,112.7
S12000011,102.6,1108.0,1232.0,111.2
S12000013,92.7,524.0,583.0,111.3
S12000014,93.4,3730.0,4199.0,112.6
S12000017,97.4,6207.0,6957.0,112.1
S12000018,90.4,1051.0,1129.0,107.3
S12000019,100.6,1640.0,1831.0,111.7
S12000020,102.9,2341.0,2623.0,112.1
S12000021,106.2,2433.0,2656.0,109.1
S12000023,95.7,531.0,603.0,113.5
S12000026,91.5,2216.0,2506.0,113.1
S12000027,85.3,690.0,770.0,111.5
S12000028,93.1,2276.0,2552.0,112.1
S12000029,96.7,6654.0,7463.0,112.2
S12000030,95.0,2450.0,2778.0,113.4
S12000033,93.5,9608.0,10847.0,112.9
S12000034,94.2,6271.0,7059.0,112.6
S12000035,98.2,2111.0,2383.0,112.9
S12000036,101.7,26204.0,29713.0,113.4
S12000038,95.2,4275.0,4857.0,113.6
S12000039,92.1,1763.0,2029.0,115.1
S12000040,113.1,5437.0,5791.0,106.5
S12000041,101.1,2149.0,2401.0,111.7
S12000042,97.3,3527.0,3929.0,111.4
S12000045,100.2,1451.0,1605.0,110.6
S12000047,103.0,7547.0,8439.0,111.8
S12000048,90.2,3936.0,4454.0,113.2
S12000049,105.4,23462.0,25845.0,110.2
S12000050,101.0,8352.0,9208.0,110.2
W06000001,105.3,1212.0,1345.0,110.9
W06000002,95.4,2350.0,2611.0,111.1
W06000003,92.4,1732.0,1933.0,111.6
W06000004,104.9,1969.0,2197.0,111.6
W06000005,96.5,4345.0,4812.0,110.7
W06000006,106.7,3574.0,3913.0,109.5
W06000008,101.3,1372.0,1537.0,112.0
W06000009,94.1,2476.0,2841.0,114.8
W06000010,101.8,3410.0,3823.0,112.1
W06000011,90.1,5149.0,5774.0,112.1
W06000012,98.2,2477.0,2780.0,112.3
W06000013,94.3,3190.0,3522.0,110.4
W06000014,94.6,1949.0,2203.0,113.0
W06000015,102.2,12711.0,14014.0,110.3
W06000016,99.8,4228.0,4710.0,111.4
W06000018,102.4,3057.0,3315.0,108.5
W06000019,106.6,953.0,1049.0,110.1
W06000020,101.5,1730.0,1904.0,110.0
W06000021,96.8,1996.0,2213.0,110.9
W06000022,95.4,3975.0,4431.0,111.5
W06000023,98.8,2241.0,2550.0,113.8
W06000024,97.7,1030.0,1066.0,103.5
